OTU	Sample_1	Sample_2	Sample_3
Sample_1_filtered_trimmed_combined100size=2	2	0	0
Sample_1_filtered_trimmed_combined104size=1	1	0	0
Sample_1_filtered_trimmed_combined111size=1	1	0	0
Sample_1_filtered_trimmed_combined112size=15	6	1	0
Sample_1_filtered_trimmed_combined113size=23	1	0	7
Sample_1_filtered_trimmed_combined116size=1	1	0	0
Sample_1_filtered_trimmed_combined117size=1	1	0	0
Sample_1_filtered_trimmed_combined120size=1	1	0	0
Sample_1_filtered_trimmed_combined123size=1	1	0	0
Sample_1_filtered_trimmed_combined126size=1	1	0	0
Sample_1_filtered_trimmed_combined127size=1	1	0	0
Sample_1_filtered_trimmed_combined129size=5	5	0	0
Sample_1_filtered_trimmed_combined133size=1	1	0	0
Sample_1_filtered_trimmed_combined141size=2	2	0	0
Sample_1_filtered_trimmed_combined144size=1	1	0	0
Sample_1_filtered_trimmed_combined146size=2	2	0	0
Sample_1_filtered_trimmed_combined147size=1	1	0	0
Sample_1_filtered_trimmed_combined149size=11	1	0	2
Sample_1_filtered_trimmed_combined151size=2	2	0	0
Sample_1_filtered_trimmed_combined152size=2	3	0	0
Sample_1_filtered_trimmed_combined154size=2	2	0	0
Sample_1_filtered_trimmed_combined156size=2	2	0	0
Sample_1_filtered_trimmed_combined158size=3	3	0	0
Sample_1_filtered_trimmed_combined160size=1	1	0	0
Sample_1_filtered_trimmed_combined164size=1	1	0	0
Sample_1_filtered_trimmed_combined166size=1	1	0	0
Sample_1_filtered_trimmed_combined169size=1	1	0	0
Sample_1_filtered_trimmed_combined171size=6	4	0	2
Sample_1_filtered_trimmed_combined178size=1	1	0	0
Sample_1_filtered_trimmed_combined180size=1	1	0	0
Sample_1_filtered_trimmed_combined181size=4	3	0	1
Sample_1_filtered_trimmed_combined183size=12	12	0	0
Sample_1_filtered_trimmed_combined187size=2	4	3	0
Sample_1_filtered_trimmed_combined189size=1	1	0	0
Sample_1_filtered_trimmed_combined18size=1	1	0	0
Sample_1_filtered_trimmed_combined192size=1	1	3	0
Sample_1_filtered_trimmed_combined195size=1	1	0	0
Sample_1_filtered_trimmed_combined197size=1	1	0	0
Sample_1_filtered_trimmed_combined198size=6	2	0	3
Sample_1_filtered_trimmed_combined1size=1	1	0	0
Sample_1_filtered_trimmed_combined203size=1	1	0	0
Sample_1_filtered_trimmed_combined205size=1	1	0	0
Sample_1_filtered_trimmed_combined206size=20	20	0	0
Sample_1_filtered_trimmed_combined20size=1	1	0	0
Sample_1_filtered_trimmed_combined214size=1	1	0	0
Sample_1_filtered_trimmed_combined217size=1	1	0	0
Sample_1_filtered_trimmed_combined219size=1	1	0	0
Sample_1_filtered_trimmed_combined223size=1	1	0	0
Sample_1_filtered_trimmed_combined224size=1	1	0	0
Sample_1_filtered_trimmed_combined225size=10	9	1	0
Sample_1_filtered_trimmed_combined229size=1	1	0	0
Sample_1_filtered_trimmed_combined231size=3	2	0	0
Sample_1_filtered_trimmed_combined232size=1	1	0	0
Sample_1_filtered_trimmed_combined236size=1	1	0	0
Sample_1_filtered_trimmed_combined242size=4	2	1	1
Sample_1_filtered_trimmed_combined243size=1	1	0	0
Sample_1_filtered_trimmed_combined245size=1	1	0	0
Sample_1_filtered_trimmed_combined24size=20	1	15	0
Sample_1_filtered_trimmed_combined251size=5	5	0	0
Sample_1_filtered_trimmed_combined255size=4	4	0	0
Sample_1_filtered_trimmed_combined256size=1	1	0	0
Sample_1_filtered_trimmed_combined257size=1	1	0	0
Sample_1_filtered_trimmed_combined261size=1	1	0	0
Sample_1_filtered_trimmed_combined263size=1	1	0	0
Sample_1_filtered_trimmed_combined264size=1	1	0	0
Sample_1_filtered_trimmed_combined266size=1	1	0	0
Sample_1_filtered_trimmed_combined268size=12	8	2	2
Sample_1_filtered_trimmed_combined270size=1	1	0	0
Sample_1_filtered_trimmed_combined271size=1	1	0	0
Sample_1_filtered_trimmed_combined272size=1	1	0	0
Sample_1_filtered_trimmed_combined277size=1	1	0	0
Sample_1_filtered_trimmed_combined27size=1	1	0	0
Sample_1_filtered_trimmed_combined281size=4	12	0	0
Sample_1_filtered_trimmed_combined282size=2	3	0	0
Sample_1_filtered_trimmed_combined284size=2	2	0	0
Sample_1_filtered_trimmed_combined286size=1	1	0	0
Sample_1_filtered_trimmed_combined288size=1	1	0	0
Sample_1_filtered_trimmed_combined290size=1	1	0	0
Sample_1_filtered_trimmed_combined291size=1	1	0	0
Sample_1_filtered_trimmed_combined292size=1	1	0	0
Sample_1_filtered_trimmed_combined294size=1	1	0	0
Sample_1_filtered_trimmed_combined296size=1	1	0	0
Sample_1_filtered_trimmed_combined297size=1	1	0	0
Sample_1_filtered_trimmed_combined298size=1	1	0	0
Sample_1_filtered_trimmed_combined300size=50	2	0	9
Sample_1_filtered_trimmed_combined304size=1	1	0	0
Sample_1_filtered_trimmed_combined30size=1	1	0	0
Sample_1_filtered_trimmed_combined310size=1	1	0	0
Sample_1_filtered_trimmed_combined311size=1	1	0	0
Sample_1_filtered_trimmed_combined312size=1	2	0	0
Sample_1_filtered_trimmed_combined313size=1	1	0	0
Sample_1_filtered_trimmed_combined319size=1	1	0	0
Sample_1_filtered_trimmed_combined322size=8	6	0	0
Sample_1_filtered_trimmed_combined323size=1	1	0	0
Sample_1_filtered_trimmed_combined327size=2	2	0	0
Sample_1_filtered_trimmed_combined328size=1	1	0	0
Sample_1_filtered_trimmed_combined329size=1	1	0	0
Sample_1_filtered_trimmed_combined330size=1	1	0	0
Sample_1_filtered_trimmed_combined331size=1	1	0	0
Sample_1_filtered_trimmed_combined334size=1	1	0	0
Sample_1_filtered_trimmed_combined335size=1	1	0	0
Sample_1_filtered_trimmed_combined336size=1	1	0	0
Sample_1_filtered_trimmed_combined337size=8	2	0	0
Sample_1_filtered_trimmed_combined338size=2	4	0	0
Sample_1_filtered_trimmed_combined33size=1	1	0	0
Sample_1_filtered_trimmed_combined342size=1	1	0	0
Sample_1_filtered_trimmed_combined343size=1	1	0	0
Sample_1_filtered_trimmed_combined345size=1	1	0	0
Sample_1_filtered_trimmed_combined346size=1	1	0	0
Sample_1_filtered_trimmed_combined34size=1	1	0	0
Sample_1_filtered_trimmed_combined350size=1	1	0	0
Sample_1_filtered_trimmed_combined351size=1	1	0	0
Sample_1_filtered_trimmed_combined355size=1	1	0	0
Sample_1_filtered_trimmed_combined357size=1	1	0	0
Sample_1_filtered_trimmed_combined358size=6	4	1	0
Sample_1_filtered_trimmed_combined359size=3	1	1	0
Sample_1_filtered_trimmed_combined35size=1	1	0	0
Sample_1_filtered_trimmed_combined360size=12	2	0	0
Sample_1_filtered_trimmed_combined362size=1	1	0	0
Sample_1_filtered_trimmed_combined365size=1	1	0	0
Sample_1_filtered_trimmed_combined369size=1	1	0	0
Sample_1_filtered_trimmed_combined36size=1	1	0	0
Sample_1_filtered_trimmed_combined371size=1	1	0	0
Sample_1_filtered_trimmed_combined372size=1	1	0	0
Sample_1_filtered_trimmed_combined377size=1	1	0	0
Sample_1_filtered_trimmed_combined378size=1	1	0	0
Sample_1_filtered_trimmed_combined379size=1	2	0	0
Sample_1_filtered_trimmed_combined37size=1	1	0	0
Sample_1_filtered_trimmed_combined385size=1	1	0	0
Sample_1_filtered_trimmed_combined387size=2	7	0	0
Sample_1_filtered_trimmed_combined389size=1	1	0	0
Sample_1_filtered_trimmed_combined391size=1	2	0	0
Sample_1_filtered_trimmed_combined392size=3	2	0	0
Sample_1_filtered_trimmed_combined394size=2	3	0	0
Sample_1_filtered_trimmed_combined396size=1	1	0	0
Sample_1_filtered_trimmed_combined403size=1	1	0	0
Sample_1_filtered_trimmed_combined409size=13	9	2	2
Sample_1_filtered_trimmed_combined40size=1	1	0	0
Sample_1_filtered_trimmed_combined414size=1	1	0	0
Sample_1_filtered_trimmed_combined417size=2	1	0	0
Sample_1_filtered_trimmed_combined419size=6	7	0	1
Sample_1_filtered_trimmed_combined41size=1	1	0	0
Sample_1_filtered_trimmed_combined420size=1	1	0	0
Sample_1_filtered_trimmed_combined426size=1	1	0	0
Sample_1_filtered_trimmed_combined42size=1	9	0	0
Sample_1_filtered_trimmed_combined433size=1	1	0	0
Sample_1_filtered_trimmed_combined434size=1	1	0	0
Sample_1_filtered_trimmed_combined439size=1	1	0	0
Sample_1_filtered_trimmed_combined443size=1	1	0	0
Sample_1_filtered_trimmed_combined454size=1	1	0	0
Sample_1_filtered_trimmed_combined456size=1	1	0	0
Sample_1_filtered_trimmed_combined459size=1	1	0	0
Sample_1_filtered_trimmed_combined462size=2	1	0	0
Sample_1_filtered_trimmed_combined463size=8	5	2	1
Sample_1_filtered_trimmed_combined464size=1	1	0	0
Sample_1_filtered_trimmed_combined465size=1	1	0	0
Sample_1_filtered_trimmed_combined466size=8	7	0	0
Sample_1_filtered_trimmed_combined467size=1	1	0	0
Sample_1_filtered_trimmed_combined468size=1	1	0	0
Sample_1_filtered_trimmed_combined472size=21	21	0	0
Sample_1_filtered_trimmed_combined477size=1	1	0	0
Sample_1_filtered_trimmed_combined479size=1	1	0	0
Sample_1_filtered_trimmed_combined481size=1	1	0	0
Sample_1_filtered_trimmed_combined485size=1	1	0	0
Sample_1_filtered_trimmed_combined486size=6	4	3	0
Sample_1_filtered_trimmed_combined487size=1	1	0	0
Sample_1_filtered_trimmed_combined488size=1	1	0	0
Sample_1_filtered_trimmed_combined48size=11	4	0	0
Sample_1_filtered_trimmed_combined490size=1	1	0	0
Sample_1_filtered_trimmed_combined493size=2	5	0	0
Sample_1_filtered_trimmed_combined494size=1	1	0	0
Sample_1_filtered_trimmed_combined495size=1	1	0	0
Sample_1_filtered_trimmed_combined497size=1	1	0	0
Sample_1_filtered_trimmed_combined498size=1	1	0	0
Sample_1_filtered_trimmed_combined501size=1	1	0	0
Sample_1_filtered_trimmed_combined502size=1	1	0	0
Sample_1_filtered_trimmed_combined503size=1	1	0	0
Sample_1_filtered_trimmed_combined505size=1	1	0	0
Sample_1_filtered_trimmed_combined507size=1	1	0	0
Sample_1_filtered_trimmed_combined512size=4	2	0	2
Sample_1_filtered_trimmed_combined514size=4	4	0	0
Sample_1_filtered_trimmed_combined515size=1	1	0	0
Sample_1_filtered_trimmed_combined517size=1	3	0	0
Sample_1_filtered_trimmed_combined521size=1	1	0	0
Sample_1_filtered_trimmed_combined523size=1	1	0	0
Sample_1_filtered_trimmed_combined524size=1	1	0	0
Sample_1_filtered_trimmed_combined525size=1	1	0	0
Sample_1_filtered_trimmed_combined531size=1	1	0	0
Sample_1_filtered_trimmed_combined532size=1	1	0	0
Sample_1_filtered_trimmed_combined534size=1	1	0	0
Sample_1_filtered_trimmed_combined535size=1	1	0	0
Sample_1_filtered_trimmed_combined537size=2	2	0	0
Sample_1_filtered_trimmed_combined538size=1	1	0	0
Sample_1_filtered_trimmed_combined541size=1	1	0	0
Sample_1_filtered_trimmed_combined54size=1	7	0	0
Sample_1_filtered_trimmed_combined551size=1	1	0	0
Sample_1_filtered_trimmed_combined554size=1	1	0	0
Sample_1_filtered_trimmed_combined557size=1	1	0	0
Sample_1_filtered_trimmed_combined55size=1	1	0	0
Sample_1_filtered_trimmed_combined561size=1	1	0	0
Sample_1_filtered_trimmed_combined564size=3	3	0	0
Sample_1_filtered_trimmed_combined567size=1	1	0	0
Sample_1_filtered_trimmed_combined59size=1	1	0	0
Sample_1_filtered_trimmed_combined5size=3	3	0	0
Sample_1_filtered_trimmed_combined62size=1	1	0	0
Sample_1_filtered_trimmed_combined64size=1	1	0	1
Sample_1_filtered_trimmed_combined65size=1	1	0	0
Sample_1_filtered_trimmed_combined70size=1	1	0	0
Sample_1_filtered_trimmed_combined77size=1	1	0	0
Sample_1_filtered_trimmed_combined7size=1	1	0	0
Sample_1_filtered_trimmed_combined81size=1	1	0	0
Sample_1_filtered_trimmed_combined82size=2	2	0	0
Sample_1_filtered_trimmed_combined83size=1	1	0	0
Sample_1_filtered_trimmed_combined85size=15	2	3	6
Sample_1_filtered_trimmed_combined86size=1	1	0	0
Sample_1_filtered_trimmed_combined87size=1	1	0	0
Sample_1_filtered_trimmed_combined88size=2	2	0	0
Sample_1_filtered_trimmed_combined89size=1	1	0	0
Sample_1_filtered_trimmed_combined8size=1	1	0	0
Sample_1_filtered_trimmed_combined90size=1	1	0	0
Sample_1_filtered_trimmed_combined93size=1	1	0	0
Sample_1_filtered_trimmed_combined96size=1	1	0	0
Sample_1_filtered_trimmed_combined98size=1	1	0	0
Sample_1_filtered_trimmed_combined9size=2	1	1	0
Sample_2_filtered_trimmed_combined100size=1	0	1	0
Sample_2_filtered_trimmed_combined103size=1	0	1	0
Sample_2_filtered_trimmed_combined106size=2	0	2	0
Sample_2_filtered_trimmed_combined110size=1	0	1	0
Sample_2_filtered_trimmed_combined111size=10	1	1	0
Sample_2_filtered_trimmed_combined114size=1	0	1	0
Sample_2_filtered_trimmed_combined115size=1	0	1	0
Sample_2_filtered_trimmed_combined117size=1	0	1	0
Sample_2_filtered_trimmed_combined119size=1	0	1	0
Sample_2_filtered_trimmed_combined11size=1	0	1	0
Sample_2_filtered_trimmed_combined122size=1	0	1	0
Sample_2_filtered_trimmed_combined123size=1	0	1	0
Sample_2_filtered_trimmed_combined124size=1	0	1	0
Sample_2_filtered_trimmed_combined128size=3	1	1	0
Sample_2_filtered_trimmed_combined129size=1	0	1	0
Sample_2_filtered_trimmed_combined131size=35	0	34	0
Sample_2_filtered_trimmed_combined134size=9	1	4	0
Sample_2_filtered_trimmed_combined141size=1	0	1	0
Sample_2_filtered_trimmed_combined146size=1	0	1	0
Sample_2_filtered_trimmed_combined148size=5	0	5	0
Sample_2_filtered_trimmed_combined156size=1	0	1	0
Sample_2_filtered_trimmed_combined160size=1	0	1	0
Sample_2_filtered_trimmed_combined161size=1	0	1	0
Sample_2_filtered_trimmed_combined164size=2	1	2	0
Sample_2_filtered_trimmed_combined166size=1	0	1	0
Sample_2_filtered_trimmed_combined167size=1	0	1	0
Sample_2_filtered_trimmed_combined168size=1	0	1	0
Sample_2_filtered_trimmed_combined169size=1	0	1	0
Sample_2_filtered_trimmed_combined170size=1	0	1	0
Sample_2_filtered_trimmed_combined171size=11	0	11	0
Sample_2_filtered_trimmed_combined172size=1	0	1	0
Sample_2_filtered_trimmed_combined178size=1	0	1	0
Sample_2_filtered_trimmed_combined182size=12	3	4	2
Sample_2_filtered_trimmed_combined184size=1	0	1	0
Sample_2_filtered_trimmed_combined192size=1	0	1	0
Sample_2_filtered_trimmed_combined198size=1	0	2	0
Sample_2_filtered_trimmed_combined199size=1	0	1	0
Sample_2_filtered_trimmed_combined200size=1	0	1	0
Sample_2_filtered_trimmed_combined201size=1	0	1	0
Sample_2_filtered_trimmed_combined204size=1	0	1	0
Sample_2_filtered_trimmed_combined212size=1	0	1	0
Sample_2_filtered_trimmed_combined21size=1	0	1	0
Sample_2_filtered_trimmed_combined220size=1	0	1	0
Sample_2_filtered_trimmed_combined222size=2	0	1	0
Sample_2_filtered_trimmed_combined227size=1	0	1	0
Sample_2_filtered_trimmed_combined232size=1	0	1	0
Sample_2_filtered_trimmed_combined234size=34	0	32	0
Sample_2_filtered_trimmed_combined237size=1	0	1	0
Sample_2_filtered_trimmed_combined239size=1	0	1	0
Sample_2_filtered_trimmed_combined23size=1	0	1	0
Sample_2_filtered_trimmed_combined245size=47	0	47	0
Sample_2_filtered_trimmed_combined249size=1	0	1	0
Sample_2_filtered_trimmed_combined24size=1	0	1	0
Sample_2_filtered_trimmed_combined250size=1	0	1	0
Sample_2_filtered_trimmed_combined254size=2	0	1	0
Sample_2_filtered_trimmed_combined257size=9	0	9	0
Sample_2_filtered_trimmed_combined258size=1	0	2	0
Sample_2_filtered_trimmed_combined259size=1	0	1	0
Sample_2_filtered_trimmed_combined25size=1	0	1	0
Sample_2_filtered_trimmed_combined263size=1	0	1	0
Sample_2_filtered_trimmed_combined264size=1	0	1	0
Sample_2_filtered_trimmed_combined265size=1	0	1	0
Sample_2_filtered_trimmed_combined269size=1	0	1	0
Sample_2_filtered_trimmed_combined26size=1	0	1	0
Sample_2_filtered_trimmed_combined274size=1	0	1	0
Sample_2_filtered_trimmed_combined278size=1	0	1	0
Sample_2_filtered_trimmed_combined280size=1	0	1	0
Sample_2_filtered_trimmed_combined282size=1	0	1	0
Sample_2_filtered_trimmed_combined285size=1	0	1	0
Sample_2_filtered_trimmed_combined287size=10	1	17	0
Sample_2_filtered_trimmed_combined288size=2	0	1	0
Sample_2_filtered_trimmed_combined289size=1	0	1	0
Sample_2_filtered_trimmed_combined292size=1	0	1	0
Sample_2_filtered_trimmed_combined293size=14	1	11	0
Sample_2_filtered_trimmed_combined294size=7	0	7	0
Sample_2_filtered_trimmed_combined297size=1	0	1	0
Sample_2_filtered_trimmed_combined298size=2	0	1	0
Sample_2_filtered_trimmed_combined311size=1	0	1	0
Sample_2_filtered_trimmed_combined313size=1	0	1	0
Sample_2_filtered_trimmed_combined314size=1	0	1	0
Sample_2_filtered_trimmed_combined315size=9	0	3	0
Sample_2_filtered_trimmed_combined317size=1	0	1	0
Sample_2_filtered_trimmed_combined319size=1	0	1	0
Sample_2_filtered_trimmed_combined321size=1	0	1	0
Sample_2_filtered_trimmed_combined322size=1	0	3	0
Sample_2_filtered_trimmed_combined325size=1	0	1	0
